ID,invoice_ID,lineNumber,description,quantity,unitPrice,totalAmount,taxPercentage,discount,netAmount
3f1a0001-0000-4000-8000-000000000001,8b1d9f21-1111-4c81-9001-000000000001,1,Enterprise Software License,4,8000,32000,18,0,32000
3f1a0002-0000-4000-8000-000000000002,8b1d9f21-1111-4c81-9001-000000000001,2,Implementation Service,2,10000,20000,18,0,20000
3f1a0003-0000-4000-8000-000000000003,8b1d9f21-1111-4c81-9001-000000000002,1,Business Laptops,5,4000,20000,18,0,20000
3f1a0004-0000-4000-8000-000000000004,8b1d9f21-1111-4c81-9001-000000000002,2,Docking Stations,5,2200,11000,18,0,11000
3f1a0005-0000-4000-8000-000000000005,8b1d9f21-1111-4c81-9001-000000000003,1,Steel Components,3,3500,10500,18,0,10500
3f1a0006-0000-4000-8000-000000000006,8b1d9f21-1111-4c81-9001-000000000003,2,Logistics Charges,2,3750,7500,18,0,7500
3f1a0007-0000-4000-8000-000000000007,8b1d9f21-1111-4c81-9001-000000000004,1,Hydraulic Valves,5,5200,26000,18,0,26000
3f1a0008-0000-4000-8000-000000000008,8b1d9f21-1111-4c81-9001-000000000004,2,Protective Packaging,3,7000,21000,18,0,21000
3f1a0009-0000-4000-8000-000000000009,8b1d9f21-1111-4c81-9001-000000000005,1,Database Servers,4,10500,42000,18,0,42000
3f1a0010-0000-4000-8000-000000000010,8b1d9f21-1111-4c81-9001-000000000005,2,System Installation,2,11000,22000,18,0,22000
3f1a0011-0000-4000-8000-000000000011,8b1d9f21-1111-4c81-9001-000000000006,1,Technical Consulting,2,9500,19000,18,0,19000
3f1a0012-0000-4000-8000-000000000012,8b1d9f21-1111-4c81-9001-000000000006,2,Employee Training,2,5250,10500,18,0,10500
3f1a0013-0000-4000-8000-000000000013,8b1d9f21-1111-4c81-9001-000000000007,1,Production Equipment,5,9500,47500,18,0,47500
3f1a0014-0000-4000-8000-000000000014,8b1d9f21-1111-4c81-9001-000000000007,2,Annual Maintenance,2,13000,26000,18,0,26000
3f1a0015-0000-4000-8000-000000000015,8b1d9f21-1111-4c81-9001-000000000008,1,Office Desks,3,4500,13500,18,0,13500
3f1a0016-0000-4000-8000-000000000016,8b1d9f21-1111-4c81-9001-000000000008,2,Office Cabinets,2,4250,8500,18,0,8500
3f1a0017-0000-4000-8000-000000000017,8b1d9f21-1111-4c81-9001-000000000009,1,Cloud Platform License,4,12500,50000,18,0,50000
3f1a0018-0000-4000-8000-000000000018,8b1d9f21-1111-4c81-9001-000000000009,2,Technical Support Plan,4,10250,41000,18,0,41000
3f1a0019-0000-4000-8000-000000000019,8b1d9f21-1111-4c81-9001-000000000010,1,Aluminium Sheets,3,6500,19500,18,0,19500
3f1a0020-0000-4000-8000-000000000020,8b1d9f21-1111-4c81-9001-000000000010,2,Fabrication Charges,3,5667,17001,18,0,17001
3f1a0021-0000-4000-8000-000000000021,8b1d9f21-1111-4c81-9001-000000000011,1,Network Router,4,7200,28800,18,0,28800
3f1a0022-0000-4000-8000-000000000022,8b1d9f21-1111-4c81-9001-000000000011,2,Fiber Cabling,4,7425,29700,18,0,29700
3f1a0023-0000-4000-8000-000000000023,8b1d9f21-1111-4c81-9001-000000000012,1,ERP Upgrade,2,8000,16000,18,0,16000
3f1a0024-0000-4000-8000-000000000024,8b1d9f21-1111-4c81-9001-000000000012,2,License Renewal,2,4750,9500,18,0,9500
3f1a0025-0000-4000-8000-000000000025,8b1d9f21-1111-4c81-9001-000000000013,1,Engineering Design,4,12250,49000,18,0,49000
3f1a0026-0000-4000-8000-000000000026,8b1d9f21-1111-4c81-9001-000000000013,2,Compliance Audit,2,19250,38500,18,0,38500
3f1a0027-0000-4000-8000-000000000027,8b1d9f21-1111-4c81-9001-000000000014,1,Electrical Cables,4,6250,25000,18,0,25000
3f1a0028-0000-4000-8000-000000000028,8b1d9f21-1111-4c81-9001-000000000014,2,Repair Services,2,9750,19500,18,0,19500
3f1a0029-0000-4000-8000-000000000029,8b1d9f21-1111-4c81-9001-000000000015,1,Cleaning Supplies,3,5500,16500,18,0,16500
3f1a0030-0000-4000-8000-000000000030,8b1d9f21-1111-4c81-9001-000000000015,2,Stationery Items,2,6000,12000,18,0,12000
3f1a0031-0000-4000-8000-000000000031,8b1d9f21-1111-4c81-9001-000000000016,1,Security Firewall,5,10200,51000,18,0,51000
3f1a0032-0000-4000-8000-000000000032,8b1d9f21-1111-4c81-9001-000000000016,2,Network Configuration,2,23750,47500,18,0,47500
3f1a0033-0000-4000-8000-000000000033,8b1d9f21-1111-4c81-9001-000000000017,1,Industrial Chemicals,3,7200,21600,18,0,21600
3f1a0034-0000-4000-8000-000000000034,8b1d9f21-1111-4c81-9001-000000000017,2,Shipping Charges,2,9450,18900,18,0,18900
3f1a0035-0000-4000-8000-000000000035,8b1d9f21-1111-4c81-9001-000000000018,1,Industrial Pump Unit,2,16500,33000,18,0,33000
3f1a0036-0000-4000-8000-000000000036,8b1d9f21-1111-4c81-9001-000000000018,2,Commissioning Service,2,10000,20000,18,0,20000
3f1a0037-0000-4000-8000-000000000037,8b1d9f21-1111-4c81-9001-000000000019,1,Warehouse Lease,2,20500,41000,18,0,41000
3f1a0038-0000-4000-8000-000000000038,8b1d9f21-1111-4c81-9001-000000000019,2,Facility Security,2,10750,21500,18,0,21500
3f1a0039-0000-4000-8000-000000000039,8b1d9f21-1111-4c81-9001-000000000020,1,Office Remodeling,2,15500,31000,18,0,31000
3f1a0040-0000-4000-8000-000000000040,8b1d9f21-1111-4c81-9001-000000000020,2,Interior Painting,2,9000,18000,18,0,18000